RegionName,SubRegionName,CountryName,Year,Count
Africa,Eastern Africa,Mauritius,2003,988
Africa,Eastern Africa,Uganda,2003,837
Africa,Eastern Africa,Zimbabwe,2003,1051
Africa,Northern Africa,Algeria,2003,1250
Africa,Northern Africa,Egypt,2003,1994
Africa,Northern Africa,Morocco,2003,6978
Africa,Southern Africa,Eswatini,2003,341
Americas,Central America,Costa Rica,2003,5304
Americas,Northern America,Bermuda,2003,1112
Americas,Northern America,Canada,2003,174208
Americas,Northern America,United States of America,2003,1261226
Americas,South America,Ecuador,2003,5601
Americas,South America,Peru,2003,8722
Americas,South America,Suriname,2003,71
Americas,South America,Uruguay,2003,4456
Asia,Central Asia,Kyrgyzstan,2003,219
Asia,Central Asia,Turkmenistan,2003,10
Asia,Eastern Asia,Hong Kong Special Administrative Region of China,2003,2301
Asia,South-Eastern Asia,Brunei Darussalam,2003,148
Asia,South-Eastern Asia,Singapore,2003,1190
Asia,Southern Asia,Iran (Islamic Republic of),2003,81075
Asia,Southern Asia,Maldives,2003,261
Asia,Southern Asia,Sri Lanka,2003,752
Asia,Western Asia,Armenia,2003,124
Asia,Western Asia,Azerbaijan,2003,80
Asia,Western Asia,Georgia,2003,743
Asia,Western Asia,Qatar,2003,65
Asia,Western Asia,State of Palestine,2003,181
Asia,Western Asia,Syrian Arab Republic,2003,529
Asia,Western Asia,Turkey,2003,25443
Asia,Western Asia,United Arab Emirates,2003,677
Europe,Eastern Europe,Belarus,2003,1787
Europe,Eastern Europe,Bulgaria,2003,8897
Europe,Eastern Europe,Czech Republic,2003,25331
Europe,Eastern Europe,Hungary,2003,12527
Europe,Eastern Europe,Poland,2003,54291
Europe,Eastern Europe,Republic of Moldova,2003,184
Europe,Eastern Europe,Romania,2003,1127
Europe,Eastern Europe,Slovakia,2003,5295
Europe,Eastern Europe,Ukraine,2003,7013
Europe,Northern Europe,Denmark,2003,23713
Europe,Northern Europe,Estonia,2003,460
Europe,Northern Europe,Finland,2003,21922
Europe,Northern Europe,Iceland,2003,385
Europe,Northern Europe,Ireland,2003,12339
Europe,Northern Europe,Latvia,2003,3699
Europe,Northern Europe,Lithuania,2003,7022
Europe,Northern Europe,Norway,2003,20130
Europe,Northern Europe,Sweden,2003,67199
Europe,Northern Europe,United Kingdom (England and Wales),2003,291858
Europe,Northern Europe,United Kingdom (Northern Ireland),2003,6150
Europe,Northern Europe,United Kingdom (Scotland),2003,17843
Europe,Southern Europe,Croatia,2003,2338
Europe,Southern Europe,Italy,2003,221543
Europe,Southern Europe,Malta,2003,887
Europe,Southern Europe,Montenegro,2003,78
Europe,Southern Europe,Portugal,2003,29934
Europe,Southern Europe,Slovenia,2003,682
Europe,Western Europe,Belgium,2003,32878
Europe,Western Europe,Germany,2003,109846
Europe,Western Europe,Liechtenstein,2003,22
Europe,Western Europe,Switzerland,2003,70713
Oceania,Australia and New Zealand,Australia,2003,98298
Africa,Eastern Africa,Kenya,2004,798
Africa,Eastern Africa,Mauritius,2004,1105
Africa,Eastern Africa,Uganda,2004,581
Africa,Eastern Africa,Zimbabwe,2004,1096
Africa,Northern Africa,Algeria,2004,1096
Africa,Northern Africa,Egypt,2004,2784
Africa,Northern Africa,Morocco,2004,7640
Africa,Southern Africa,Eswatini,2004,307
Americas,Caribbean,Barbados,2004,107
Americas,Caribbean,St. Vincent and the Grenadines,2004,36
Americas,Caribbean,Trinidad and Tobago,2004,1428
Americas,Central America,Costa Rica,2004,4763
Americas,Central America,Guatemala,2004,4654
Americas,Central America,Mexico,2004,144457
Americas,Central America,Panama,2004,771
Americas,Northern America,Bermuda,2004,858
Americas,Northern America,Canada,2004,169977
Americas,Northern America,United States of America,2004,1237851
Americas,South America,Ecuador,2004,6167
Americas,South America,Peru,2004,10633
Americas,South America,Suriname,2004,40
Americas,South America,Uruguay,2004,4677
Asia,Central Asia,Kyrgyzstan,2004,238
Asia,Central Asia,Tajikistan,2004,41
Asia,Central Asia,Turkmenistan,2004,8
Asia,Eastern Asia,Hong Kong Special Administrative Region of China,2004,1740
Asia,Eastern Asia,Japan,2004,185454
Asia,Eastern Asia,Mongolia,2004,61
Asia,South-Eastern Asia,Brunei Darussalam,2004,142
Asia,South-Eastern Asia,Singapore,2004,1117
Asia,Southern Asia,India,2004,80682
Asia,Southern Asia,Iran (Islamic Republic of),2004,94413
Asia,Southern Asia,Maldives,2004,316
Asia,Southern Asia,Sri Lanka,2004,822
Asia,Western Asia,Armenia,2004,127
Asia,Western Asia,Azerbaijan,2004,95
Asia,Western Asia,Georgia,2004,1784
Asia,Western Asia,Israel,2004,30850
Asia,Western Asia,Kuwait,2004,6
Asia,Western Asia,Qatar,2004,63
Asia,Western Asia,State of Palestine,2004,385
Asia,Western Asia,Syrian Arab Republic,2004,572
Asia,Western Asia,Turkey,2004,25667
Asia,Western Asia,United Arab Emirates,2004,519
Europe,Eastern Europe,Belarus,2004,1771
Europe,Eastern Europe,Bulgaria,2004,7708
Europe,Eastern Europe,Czech Republic,2004,24230
Europe,Eastern Europe,Hungary,2004,9053
Europe,Eastern Europe,Poland,2004,51150
Europe,Eastern Europe,Republic of Moldova,2004,191
Europe,Eastern Europe,Romania,2004,1120
Europe,Eastern Europe,Russian Federation,2004,71205
Europe,Eastern Europe,Slovakia,2004,6000
Europe,Eastern Europe,Ukraine,2004,5857
Europe,Northern Europe,Denmark,2004,20789
Europe,Northern Europe,Estonia,2004,628
Europe,Northern Europe,Finland,2004,19326
Europe,Northern Europe,Iceland,2004,438
Europe,Northern Europe,Ireland,2004,14396
Europe,Northern Europe,Latvia,2004,3266
Europe,Northern Europe,Lithuania,2004,6330
Europe,Northern Europe,Norway,2004,17867
Europe,Northern Europe,Sweden,2004,60980
Europe,Northern Europe,United Kingdom (England and Wales),2004,242732
Europe,Northern Europe,United Kingdom (Northern Ireland),2004,4532
Europe,Northern Europe,United Kingdom (Scotland),2004,15633
Europe,Southern Europe,Croatia,2004,2462
Europe,Southern Europe,Greece,2004,17478
Europe,Southern Europe,Italy,2004,187300
Europe,Southern Europe,Malta,2004,798
Europe,Southern Europe,Montenegro,2004,47
Europe,Southern Europe,Portugal,2004,29237
Europe,Southern Europe,Slovenia,2004,704
Europe,Western Europe,Austria,2004,8156
Europe,Western Europe,Belgium,2004,29925
Europe,Western Europe,France,2004,285680
Europe,Western Europe,Germany,2004,107920
Europe,Western Europe,Liechtenstein,2004,19
Europe,Western Europe,Switzerland,2004,62172
Oceania,Australia and New Zealand,Australia,2004,87939
Africa,Eastern Africa,Kenya,2005,654
Africa,Eastern Africa,Mauritius,2005,993
Africa,Eastern Africa,Uganda,2005,1641
Africa,Eastern Africa,Zimbabwe,2005,650
Africa,Northern Africa,Algeria,2005,2624
Africa,Northern Africa,Egypt,2005,3047
Africa,Northern Africa,Morocco,2005,7506
Americas,Caribbean,Bahamas,2005,846
Americas,Caribbean,Barbados,2005,121
Americas,Caribbean,Dominican Republic,2005,2585
Americas,Caribbean,Grenada,2005,0
Americas,Caribbean,St. Vincent and the Grenadines,2005,24
Americas,Caribbean,Trinidad and Tobago,2005,1329
Americas,Central America,Belize,2005,67
Americas,Central America,Costa Rica,2005,5114
Americas,Central America,El Salvador,2005,1857
Americas,Central America,Guatemala,2005,4034
Americas,Central America,Mexico,2005,143525
Americas,Central America,Nicaragua,2005,285
Americas,Central America,Panama,2005,757
Americas,Northern America,Canada,2005,160014
Americas,Northern America,United States of America,2005,1235859
Americas,South America,Argentina,2005,52560
Americas,South America,Chile,2005,12108
Americas,South America,Ecuador,2005,6433
Americas,South America,Paraguay,2005,1524
Americas,South America,Peru,2005,12560
Asia,Central Asia,Kyrgyzstan,2005,295
Asia,Central Asia,Tajikistan,2005,53
Asia,Central Asia,Turkmenistan,2005,4
Asia,Eastern Asia,Hong Kong Special Administrative Region of China,2005,1568
Asia,Eastern Asia,Japan,2005,150883
Asia,Eastern Asia,Mongolia,2005,73
Asia,South-Eastern Asia,Brunei Darussalam,2005,163
Asia,South-Eastern Asia,Malaysia,2005,66927
Asia,South-Eastern Asia,Singapore,2005,1058
Asia,South-Eastern Asia,Thailand,2005,20343
Asia,Southern Asia,Bangladesh,2005,1061
Asia,Southern Asia,India,2005,85709
Asia,Southern Asia,Nepal,2005,26
Asia,Western Asia,Armenia,2005,96
Asia,Western Asia,Azerbaijan,2005,124
Asia,Western Asia,Bahrain,2005,3030
Asia,Western Asia,Cyprus,2005,1610
Asia,Western Asia,Georgia,2005,283
Asia,Western Asia,Israel,2005,34795
Asia,Western Asia,Jordan,2005,3006
Asia,Western Asia,Kuwait,2005,7
Asia,Western Asia,Qatar,2005,187
Asia,Western Asia,State of Palestine,2005,286
Asia,Western Asia,Syrian Arab Republic,2005,645
Asia,Western Asia,Turkey,2005,33344
Asia,Western Asia,United Arab Emirates,2005,520
Asia,Western Asia,Yemen,2005,714
Europe,Eastern Europe,Belarus,2005,1420
Europe,Eastern Europe,Bulgaria,2005,5904
Europe,Eastern Europe,Czech Republic,2005,23040
Europe,Eastern Europe,Hungary,2005,8961
Europe,Eastern Europe,Poland,2005,45292
Europe,Eastern Europe,Republic of Moldova,2005,105
